"user_id","course_id","chapter_id","lesson_id"
"1350","14","2","1"
"1350","15","1","1"
"1350","16","2","1"
"1351","1","6","7"
"1351","3","5","4"
"1354","1","6","5"
"1354","3","3","7"
"1355","1","1","2"
"1356","1","4","3"
"1356","4","1","1"
"1357","1","6","7"
"1359","1","6","7"
"1361","1","6","7"
"1361","3","6","1"
"1362","1","1","2"
"1366","1","6","6"
"1366","3","2","10"
"1367","1","1","1"
"1368","1","2","2"
"1368","3","3","1"
"1369","1","5","1"
"1369","3","8","3"
"1369","16","1","1"
"1371","1","5","1"
"1371","3","3","7"
"1371","4","3","7"
"1371","5","4","3"
"1371","7","2","3"
"1371","9","2","3"
"1371","13","3","2"
"1371","14","1","1"
"1372","1","5","4"
"1372","3","8","2"
"1372","4","2","7"
"1372","5","1","1"
"1372","9","1","1"
"1372","12","1","1"
"1375","1","6","7"
"1376","1","5","4"
"1376","3","2","3"
"1377","1","5","4"
"1377","3","7","3"
"1377","4","2","1"
"1377","5","3","2"
"1377","7","2","5"
"1377","9","2","1"
"1377","11","1","1"
"1377","12","1","1"
"1378","1","1","2"
"1379","1","1","1"
"1381","1","3","2"
"1381","3","3","1"
"1381","4","2","2"
"1382","1","3","1"
"1386","1","2","2"
"1388","1","6","7"
"1388","3","4","8"
"1388","4","2","8"
"1388","5","4","7"
"1388","7","2","5"
"1388","9","1","7"
"1388","12","7","5"
"1390","1","6","4"
"1390","3","8","3"
"1390","4","4","1"
"1390","5","4","6"
"1390","7","2","5"
"1391","1","1","2"
"1393","1","5","4"
"1393","3","3","3"
"1394","1","1","2"
"1395","1","6","6"
"1395","3","1","1"
"1395","4","2","5"
"1395","5","1","2"
"1395","7","1","2"
"1395","9","2","1"
"1395","11","1","1"
"1395","12","1","1"
"1396","1","6","7"
"1396","3","4","1"
"1399","1","1","1"
"1400","1","2","1"
"1400","3","7","4"
"1401","1","2","1"
"1401","3","7","10"
"1401","4","1","1"
"1403","1","2","1"
"1404","3","1","3"
"1407","1","6","7"
"1407","3","6","5"
"1407","4","1","1"
"1409","1","3","2"
"1410","1","5","2"
"1410","3","8","6"
"1410","4","3","7"
"1410","5","4","7"
"1411","1","6","7"
"1411","3","5","3"
"1412","1","6","7"
"1412","3","9","1"
"1412","4","2","1"
"1414","1","1","1"
"1415","1","6","6"
"1416","1","1","1"
"1417","1","5","5"
"1417","3","5","5"
"1417","13","1","1"
"1417","16","1","1"
"1418","1","6","7"
"1418","3","8","3"
"1418","4","3","4"
"1421","1","4","1"
"1421","3","9","1"
"1421","4","3","6"
"1421","5","4","6"
"1421","7","1","6"
"1421","9","2","3"
"1421","10","4","1"
"1421","11","5","1"
"1421","12","7","4"
"1421","14","2","2"
"1421","15","2","4"
"1421","16","2","8"
"1424","1","6","5"
"1424","3","5","1"
"1424","4","2","2"
"1424","5","1","7"
"1424","9","1","1"
"1424","11","1","1"
"1424","12","3","1"
"1426","1","5","4"
"1426","3","7","8"
"1428","1","2","2"
"1428","12","1","1"
"1429","1","6","5"
"1429","3","9","1"
"1431","1","2","1"
"1431","3","4","1"
"1432","1","6","7"
"1432","3","7","2"
"1432","4","1","1"
"1433","1","2","3"
"1434","1","5","4"
"1434","3","8","6"
